"Account","Stage","Amount","OppId","CurrentPath","NewFolder","NewFile","HubPage","Issues"
"UNKNOWN",,,,"AC Gentry","UNKNOWN","AC Gentry.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"All Steel Service Inc","UNKNOWN","All Steel Service Inc.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Allen Welding","UNKNOWN","Allen Welding.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"AllPro Stainless Steel and Metal Fabrication","UNKNOWN","AllPro Stainless Steel and Metal Fabrication.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"American Alloy Fabricators","UNKNOWN","American Alloy Fabricators.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Anvil Craft Corporation","UNKNOWN","Anvil Craft Corporation.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"ASGCO Mfg Inc","UNKNOWN","ASGCO Mfg Inc.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"ATAS International Inc","UNKNOWN","ATAS International Inc.md","UNKNOWN\UNKNOWN.md",""
"Atkore - Philadelphia, PA","Discovery","$75,000.00","0065Y00001iWhPWQA0","Atkore - Philadelphia, PA","Atkore - Philadelphia, PA","Philadelphia, PA.md","Atkore - Philadelphia, PA\Atkore - Philadelphia, PA.md",""
"UNKNOWN",,,,"AW Mercer","UNKNOWN","AW Mercer.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Bangor Steel Corp","UNKNOWN","Bangor Steel Corp.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"BGC, Inc. Water and Wastewater Services Division","UNKNOWN","BGC, Inc. Water and Wastewater Services Division.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Bloomsburg Metal Co. LLC","UNKNOWN","Bloomsburg Metal Co. LLC.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Brey-Krause Mfg","UNKNOWN","Brey-Krause Mfg.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Chown's Fabrication and Rigging","UNKNOWN","Chown's Fabrication and Rigging.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Craftweld Fabrication","UNKNOWN","Craftweld Fabrication.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Crystal Metalworks Inc","UNKNOWN","Crystal Metalworks Inc.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"David J Hohenshilt Welding, LLC","UNKNOWN","David J Hohenshilt Welding, LLC.md","UNKNOWN\UNKNOWN.md",""
"DVM Manufacturing - Norristown, PA","Quoting","$97,251.00","006Nu00000TIDcRIAX","DVM Manufacturing - Norristown, PA","DVM Manufacturing - Norristown, PA","Norristown, PA.md","DVM Manufacturing - Norristown, PA\DVM Manufacturing - Norristown, PA.md",""
"UNKNOWN",,,,"Dynamic Metal Innovations","UNKNOWN","Dynamic Metal Innovations.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"EC Fence and Ironworks","UNKNOWN","EC Fence and Ironworks.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"EC Fence and Ironworks, Inc","UNKNOWN","EC Fence and Ironworks, Inc.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"EMP Industries","UNKNOWN","EMP Industries.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"ETC - Environmental Tectonics","UNKNOWN","Environmental Tectonics.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"EVS Metal - East Stroudsburg, PA","UNKNOWN","East Stroudsburg, PA.md","UNKNOWN\UNKNOWN.md",""
"UNKNOWN",,,,"Frank B Clayton Sons Inc","UNKNOWN","Frank B Clayton Sons Inc.md","UNKNOWN\UNKNOWN.md",""
"Galaxy Manufacturing Co","Favorable","TBD","006Nu00000Mf0InIAJ","Galaxy Manufacturing Co","Galaxy Manufacturing Co","Galaxy Manufacturing Co.md","Galaxy Manufacturing Co\Galaxy Manufacturing Co.md",""
"Gambone Steel Company, Inc.","Quoting","$220,873.00","006Nu000006Y8XaIAK","Gambone Steel Company, Inc","Gambone Steel Company, Inc","Gambone Steel Company, Inc.md","Gambone Steel Company, Inc\Gambone Steel Company, Inc.md",""
"Garrety Manufacturing","Discovery","—","006Nu00000JtjCwIAJ","Garrety Manufacturing","Garrety Manufacturing","Garrety Manufacturing.md","Garrety Manufacturing\Garrety Manufacturing.md",""
"Gerhart","Active Project","$280,000.00","006Nu000009xnabIAA","Gerhart","Gerhart","Gerhart.md","Gerhart\Gerhart.md",""
"Gottstein Corporation","Active Project","$415,000.00","006Nu000006PZYkIAO","Gottstein Corporation","Gottstein Corporation","Gottstein Corporation.md","Gottstein Corporation\Gottstein Corporation.md",""
